Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Active ingredient (product.metafields.shopify.active-ingredient),Age group (product.metafields.shopify.age-group),Allergen information (product.metafields.shopify.allergen-information),Application method (product.metafields.shopify.application-method),Application type (product.metafields.shopify.application-type),Body area (product.metafields.shopify.body-area),Caffeine content (product.metafields.shopify.caffeine-content),Cleanser type (product.metafields.shopify.cleanser-type),Color (product.metafields.shopify.color-pattern),Conditioner effect (product.metafields.shopify.conditioner-effect),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Cosmetic finish (product.metafields.shopify.cosmetic-finish),Cosmetic function (product.metafields.shopify.cosmetic-function),Coverage level (product.metafields.shopify.coverage-level),Detailed ingredients (product.metafields.shopify.detailed-ingredients),Dietary preferences (product.metafields.shopify.dietary-preferences),Dietary supplements (product.metafields.shopify.dietary-supplements),Dietary use (product.metafields.shopify.dietary-use),Digestive supplement type (product.metafields.shopify.digestive-supplement-type),Dispenser type (product.metafields.shopify.dispenser-type),Exfoliation method (product.metafields.shopify.exfoliation-method),Face area (product.metafields.shopify.face-area),Flavor (product.metafields.shopify.flavor),Food supplement form (product.metafields.shopify.food-supplement-form),Fragrance (product.metafields.shopify.fragrance),Fragrance level (product.metafields.shopify.fragrance-level),Hair care finish (product.metafields.shopify.hair-care-finish),Hair care items included (product.metafields.shopify.hair-care-items-included),Hair treatment effect (product.metafields.shopify.hair-treatment-effect),Ingredient origin (product.metafields.shopify.ingredient-origin),Ingredients (product.metafields.shopify.ingredients),Lip makeup opacity (product.metafields.shopify.lip-makeup-opacity),Makeup shade (product.metafields.shopify.makeup-color-shade),Makeup features (product.metafields.shopify.makeup-features),Material (product.metafields.shopify.material),Moisturizer type (product.metafields.shopify.moisturizer-type),PA rating (product.metafields.shopify.pa-rating),Package type (product.metafields.shopify.package-type),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Rinse requirement (product.metafields.shopify.rinse-requirement),Route of administration (product.metafields.shopify.route-of-administration),Shape (product.metafields.shopify.shape),Skin care effect (product.metafields.shopify.skin-care-effect),Skin care features (product.metafields.shopify.skin-care-features),Skin care mask type (product.metafields.shopify.skin-care-mask-type),SPF level (product.metafields.shopify.spf-level),Suitable for hair type (product.metafields.shopify.suitable-for-hair-type),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Supplement health focus (product.metafields.shopify.supplement-health-focus),Target gender (product.metafields.shopify.target-gender),Texture (product.metafields.shopify.texture),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Bahrain,Price / Bahrain,Compare At Price / Bahrain,Included / BH Retail,Price / BH Retail,Compare At Price / BH Retail,Included / Zone 1 - GCC,Price / Zone 1 - GCC,Compare At Price / Zone 1 - GCC,Included / Zone 2,Price / Zone 2,Compare At Price / Zone 2,Included / Zone 3,Price / Zone 3,Compare At Price / Zone 3,Included / Zone 4,Price / Zone 4,Compare At Price / Zone 4,Included / Zone 5,Price / Zone 5,Compare At Price / Zone 5,Included / Zone 8,Price / Zone 8,Compare At Price / Zone 8,Included / zone 6,Price / zone 6,Compare At Price / zone 6,Included / zone 7,Price / zone 7,Compare At Price / zone 7,Status
advanced-pdrn-rejuvenating-cream-20ml,Advanced PDRN Rejuvenating Cream 20ml,"<p>Revitalize and nourish your skin with Dr. Reju-All Advanced PDRN Rejuvenating Cream. Formulated to provide intensive hydration and support healthier-looking skin, this moisturizing cream helps improve the appearance of dryness while promoting a smoother and more refreshed complexion.</p>
<p>Its rich yet comfortable texture absorbs well into the skin, helping maintain moisture balance and leaving the skin feeling soft, supple, and hydrated throughout the day.</p>
<p>Perfect for daily skincare routines focused on hydration and skin barrier care.</p>
<h3>Key Benefits</h3>
<p>• Provides deep hydration and nourishment<br>• Helps improve the appearance of dry skin<br>• Supports smoother and healthier-looking skin<br>• Helps maintain skin moisture balance<br>• Comfortable, non-greasy texture</p>
<h3>Key Ingredients</h3>
<p>• PDRN – skin conditioning care<br>• Moisturizing Complex – hydration support<br>• Skin Barrier Supporting Ingredients – nourishment and care</p>
<h3>Size</h3>
<p>20ml</p>
<h3>How to Use</h3>
<p>Apply an appropriate amount to the face as the final step of your skincare routine. Gently pat until fully absorbed.</p>",Dr. Reju-All,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Moisturizers,Cream,"Aging and Wrinkles, All Skin Types, Cream, Dehydration, Dr. Reju-All, Sensitive, Skin Care, South Korea",true,Title,Default Title,,,,,,,,,400.0,shopify,96,deny,manual,10.500,15.000,true,true,,,,,,https://cdn.shopify.com/s/files/1/0692/0133/0422/files/ChatGPTImageJun20_2026_07_07_20PM.png?v=1781971647,1,"",false,,,2592,,,,,,,,,,,,,adults,,,,,,,,,,,hydrating; moisturizing; nourishing,,,,,,,tube,,,,,,,,,,,,,,,plastic,all-day,,tube,,cream,,,,hydrating; moisturizing; smoothing; nourishing,non-greasy,,,,all-skin-types; dry,,unisex,non-greasy,,,,,,g,,7.000,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
no-9-nad-bio-lifting-full-cover-facial-mask,No.9 NAD+ Bio Lifting Full Face Mask (4 sheets + 1 Lifting Band),"<p>Treat your skin to intensive care with the Numbuzin No.9 NAD+ Bio Lifting Full Cover Facial Mask. This premium sheet mask is designed to help improve the appearance of skin elasticity while providing deep hydration and nourishment for a smoother, firmer-looking complexion.</p>
<p>The full-cover design adheres comfortably to the skin, helping deliver moisture and active ingredients evenly across the face. Ideal for dull, tired-looking skin that needs a boost of hydration and radiance.</p>
<p>Perfect for those looking to maintain a healthy, refreshed, and youthful-looking appearance.</p>
<h3>Key Benefits</h3>
<p>• Helps improve the appearance of skin elasticity<br>• Provides intensive hydration<br>• Supports smoother-looking skin<br>• Helps refresh dull and tired-looking skin<br>• Full-cover mask design for enhanced adherence</p>
<h3>Key Ingredients</h3>
<p>• NAD+ Complex – skin conditioning care<br>• Collagen Complex – helps support skin elasticity<br>• Hydrating Ingredients – moisture support</p>
<h3>Size</h3>
<p>4 Sheets + 1 Sheet Lifting Band</p>
<h3>How to Use</h3>
<p>After cleansing and toning, apply the mask evenly over the face. Leave on for 10–20 minutes, then remove and gently pat the remaining essence into the skin.</p>",Numbuzin,Health & Beauty > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels,Mask,"Aging and Wrinkles, All Skin Types, Dehydration, Dullness, Mask, Numbuzin, Skin Care, South Korea",true,Title,Default Title,,,,,,,,,400.0,shopify,38,deny,manual,6.800,7.500,true,true,,,,,'8809652587653,https://cdn.shopify.com/s/files/1/0692/0133/0422/files/ChatGPTImageJun20_2026_07_04_39PM.png?v=1781971490,1,"",false,,,6262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,5.500,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
annurcatin-treatment,Annurcatin Treatment 200g,"<p>MOEV Annurcatin Treatment is a nourishing hair treatment designed to help moisturize, soften, and improve the appearance of dry and damaged hair. The creamy formula helps provide deep conditioning care while leaving hair feeling smoother, more manageable, and healthier-looking after every use.</p>
<p>Suitable for regular use, this treatment helps maintain moisture balance and supports soft, silky hair without feeling heavy.</p>
<p>Perfect for those looking to care for dry, frizzy, or damaged hair while maintaining softness and shine.</p>
<h3>Key Benefits</h3>
<p>• Helps nourish and moisturize hair<br>• Improves softness and manageability<br>• Helps reduce dryness and frizz<br>• Supports healthier-looking hair<br>• Leaves hair smooth and silky</p>
<h3>Key Ingredients</h3>
<p>• Conditioning Complex – softening care<br>• Moisturizing Ingredients – hydration support<br>• Hair Nourishing Ingredients – help improve manageability</p>
<h3>Size</h3>
<p>200g</p>",MOEV,Health & Beauty > Personal Care > Hair Care > Hair Treatments,Hair Treatment,"All Hair Types, Damaged Hair, Dry Hair, hair care, Hair Loss, MOEV, Philippines",true,Title,Default Title,,,,,,,,,0.0,shopify,92,deny,manual,6.500,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0692/0133/0422/files/ChatGPTImageJun20_2026_07_00_28PM.png?v=1781971284,1,"",false,,,486,,,,,,,,,,,,,,,,rinse-out,,,,,moisturizing; nourishing; smoothing; shine; repair,,,,,,,,,,,,,,,,,,,,,,,,,plastic,,,,,cream,,,,,,,,damaged; dry; frizzy,,,unisex,,,,,,,g,,4.000,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
tranexamic-acid-glutathione-eye-cream-30ml,Tranexamic Acid + Glutathione Eye Cream 30g,"<p>Care for the delicate eye area with Mary&amp;May Tranexamic Acid + Glutathione Eye Cream. This nourishing eye cream is formulated to help improve the appearance of dull and tired-looking under-eye areas while providing lasting hydration.</p>
<p>The lightweight yet moisturizing texture absorbs comfortably into the skin, helping the eye area feel smoother, softer, and refreshed. Suitable for daily use as part of both morning and evening skincare routines.</p>
<p>Perfect for those looking to maintain a brighter and more radiant-looking eye area.</p>
<h3>Key Benefits</h3>
<p>• Helps improve the appearance of dark circles<br>• Provides hydration to the eye area<br>• Supports smoother-looking skin<br>• Lightweight, non-greasy texture<br>• Suitable for daily use</p>
<h3>Key Ingredients</h3>
<p>• Tranexamic Acid – helps improve the appearance of uneven skin tone<br>• Glutathione – antioxidant care<br>• Moisturizing Complex – hydration support</p>
<h3>Size</h3>
<p>30 g</p>
<h3>How to Use</h3>
<p>Apply a small amount around the eye area and gently pat until fully absorbed. Follow with moisturizer if needed.</p>",Mary&May,Health & Beauty > Personal Care > Cosmetics > Skin Care > Eye Creams,Eye Cream,"Aging and Wrinkles, All Skin Types, Dark Circles, Dehydration, Eye Care, eye cream, Mary&May, South Korea",true,Title,Default Title,,,,,,,,,0.3,shopify,36,deny,manual,6.600,,true,true,,,,,'8809670681159,https://cdn.shopify.com/s/files/1/0692/0133/0422/files/ChatGPTImageJun20_2026_06_57_55PM.png?v=1781971079,1,"",false,,,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tube,,,,,unscented,,,,,,,,,,plastic,,,tube; box,no-artificial-fragrance,cream,,,,brightening; hydrating; smoothing; anti-wrinkle,,,,,all-skin-types,,unisex,lightweight; non-greasy,,,,,,g,,3.500,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
10x-caffeine-strengthening-treatment-cherry-blossom,10X Caffeine Strengthening Treatment Cherry Blossom 200ml,"<p>Strengthen and nourish your hair with KUNDAL 10X Caffeine Strengthening Treatment Cherry Blossom. Formulated with caffeine and moisturizing ingredients, this hair and scalp treatment helps care for weak, dry, and damaged hair while leaving it soft, smooth, and healthy-looking.</p>
<p>Its rich creamy texture helps provide moisture to the hair and scalp while improving manageability without weighing hair down. Infused with a pleasant Cherry Blossom fragrance for a refreshing hair care experience.</p>
<p>Great for daily hair care and maintaining healthier-looking hair.</p>
<p><strong>Key Benefits</strong></p>
<p>• Helps strengthen weak hair<br>• Moisturizes and softens dry strands<br>• Supports healthier-looking scalp care<br>• Improves manageability and smoothness<br>• Refreshing Cherry Blossom scent<br>• Suitable for regular use</p>
<p><strong>Key Ingredients</strong></p>
<p>• Caffeine – helps support scalp care<br>• Protein Complex – helps strengthen hair appearance<br>• Moisturizing Ingredients – help maintain hydration</p>
<p><strong>Size</strong></p>
<p>200ml</p>
<p><strong>How to Use</strong></p>
<p>After shampooing, apply an appropriate amount to damp hair, focusing on mid-lengths and ends. Leave on for 2–3 minutes and rinse thoroughly.</p>",KUNDAL,Health & Beauty > Personal Care > Hair Care > Hair Treatments,Hair Treatment,"All Hair Types, Damaged Hair, Dry Hair, hair care, Hair Concerns, Hair Loss, KUNDAL, Scalp Care, South Korea",true,Title,Default Title,,,,,,,,,500.0,shopify,33,deny,manual,4.400,5.500,true,true,,,,,'8809517467373,https://cdn.shopify.com/s/files/1/0692/0133/0422/files/ChatGPTImageJun20_2026_06_53_18PM.png?v=1781970852,1,"",false,,,486,,,,,,,,,,,,,,,,rinse-out,,,,,strengthening; moisturizing; smoothing; repair,,,,,,,,,,,,,,,floral,,,,,,,,,,plastic,,,,,cream,,,,,,,,all-hair-types,,,unisex,,,,,,,g,,3.000,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
10x-caffeine-strengthening-baby-powder-treatment,10X Caffeine Strengthening Baby Powder Treatment,"<p>KUNDAL 10X Caffeine Strengthening Baby Powder Treatment is a nourishing hair treatment formulated with Caffeine and protein-rich ingredients to help strengthen and condition the hair. The creamy formula helps improve manageability while leaving hair feeling soft, smooth, and refreshed with KUNDAL's signature Baby Powder fragrance.</p>
<p>Perfect for those looking to maintain healthier-looking hair while enjoying a clean and comforting scent.</p>
<h3>Key Benefits</h3>
<p>• Helps nourish and strengthen hair<br>• Improves softness and manageability<br>• Helps reduce the appearance of dryness and frizz<br>• Leaves hair lightly scented with Baby Powder fragrance</p>
<h3>Key Ingredients</h3>
<p>• Caffeine – scalp and hair conditioning care<br>• Protein Complex – helps strengthen hair<br>• Plant-Based Extracts – nourishment and moisture care<br>• Conditioning Agents – improve softness and manageability</p>
<h3>Size</h3>
<p>200ml</p>
<h3>How to Use</h3>
<p>After shampooing, apply an appropriate amount to damp hair, focusing on the mid-lengths and ends. Leave on for 2–3 minutes and rinse thoroughly.</p>",KUNDAL,Health & Beauty > Personal Care > Hair Care > Hair Treatments,Conditioner,"All Skin Types, Conditioner, hair care, Hair Loss, KUNDAL, South Korea",true,Title,Default Title,,,,,,,,,0.0,shopify,35,deny,manual,4.400,5.500,true,true,,,,,,https://cdn.shopify.com/s/files/1/0692/0133/0422/files/ChatGPTImageJun20_2026_06_49_40PM.png?v=1781970597,1,"",false,,,486,,,,,,,,,,,,,,,,rinse-out,,,,,strengthening; moisturizing; smoothing; anti-frizz; repair; detangling,,,,,,,,,,,,,,,fresh,,,,,,,,,,plastic,,,,,cream,,,,,,,,all-hair-types,,,unisex,,,,,,,g,,3.500,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
abc-glow-whipped-serum,ABC Glow Whipped Serum 100ml,"<p>Dr. Althea ABC Glow Whipped Serum is a lightweight serum formulated to help improve skin radiance while providing hydration and nourishment. Its whipped texture absorbs comfortably into the skin, helping leave the complexion looking smoother, brighter, and refreshed without feeling heavy.</p>
<p>Perfect for those looking for a daily glow-enhancing serum that supports hydrated and healthy-looking skin.</p>
<h3>Key Benefits</h3>
<p>• Helps improve skin radiance and glow<br>• Provides lightweight hydration<br>• Supports smoother-looking skin<br>• Fast-absorbing whipped texture</p>
<h3>Key Ingredients</h3>
<p>• Vitamin Complex – brightening and skin conditioning care<br>• Hydrating Ingredients – moisture support<br>• Botanical Extracts – soothing and nourishing care</p>
<h3>Size</h3>
<p>100ml</p>
<h3>How to Use</h3>
<p>Apply an appropriate amount to the face after cleansing and toning. Gently pat until fully absorbed and follow with moisturizer.</p>",Dr. Althea,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Serums,Serum,"All Skin Types, Brightening, Dehydration, Dr. Althea, Dullness, Serum, Skin Care, South Korea",true,Title,Default Title,,,,,,,,,500.0,shopify,38,deny,manual,7.700,8.800,true,true,,,,,'8809447256238,https://cdn.shopify.com/s/files/1/0692/0133/0422/files/ChatGPTImageJun20_2026_06_46_07PM.png?v=1781970380,1,"",false,,,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,4.000,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
green-relief-amino-gel-cleanser,Green Relief Amino Gel Cleanser,"<p>Dr. Althea Green Relief Amino Gel Cleanser is a gentle low-pH cleanser formulated with amino acid-based cleansing agents to effectively remove impurities while helping maintain the skin's natural moisture balance. The lightweight gel texture creates a soft lather that cleanses without leaving the skin feeling tight or stripped.</p>
<p>Perfect for those looking for a gentle daily cleanser that leaves the skin feeling refreshed, hydrated, and comfortable.</p>
<h3>Key Benefits</h3>
<p>• Gently removes impurities and excess oil<br>• Helps maintain the skin's moisture balance<br>• Low-pH formula for daily cleansing<br>• Leaves skin feeling refreshed and comfortable</p>
<h3>Key Ingredients</h3>
<p>• Amino Acid Cleansing Agents – gentle cleansing care<br>• Botanical Extracts – soothing skin care<br>• Humectants – hydration support</p>
<h3>Size</h3>
<p>100ml</p>
<h3>How to Use</h3>
<p>Apply an appropriate amount to wet hands and work into a lather. Gently massage onto the face and rinse thoroughly with lukewarm water.</p>",Dr. Althea,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Cleansers,Cleansers,"All Skin Types, Cleanser, Dehydration, Dr. Althea, Sensitivity, Skin Care, South Korea",true,Title,Default Title,,,,,,,,,0.0,shopify,37,deny,manual,6.500,,true,true,,,,,'849007254708,https://cdn.shopify.com/s/files/1/0692/0133/0422/files/ChatGPTImageJun20_2026_06_43_49PM.png?v=1781970235,1,"",false,,,2526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,3.000,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
the-peptide-collagen-hydrogel-eye-patch,The Peptide Collagen Hydrogel Eye Patch (60 ea),"<p>COSRX The Peptide Collagen Hydrogel Eye Patch is a hydrogel eye treatment formulated with Peptides and Collagen to help hydrate, smooth, and revitalize the delicate under-eye area. The cooling hydrogel patches adhere comfortably to the skin, delivering moisture while helping improve the appearance of tired-looking eyes.</p>
<p>Perfect for those looking for intensive hydration and care for the under-eye area.</p>
<h3>Key Benefits</h3>
<p>• Helps hydrate and refresh the under-eye area<br>• Supports smoother-looking skin<br>• Cooling hydrogel texture<br>• Helps improve the appearance of tired-looking eyes</p>
<h3>Key Ingredients</h3>
<p>• Peptides – supports firmer-looking skin<br>• Collagen – helps maintain skin moisture<br>• Hyaluronic Acid – hydration support<br>• Hydrogel Complex – cooling and soothing care</p>
<h3>Size</h3>
<p>60 Patches</p>
<h3>How to Use</h3>
<p>After cleansing and toning, apply patches under the eyes. Leave on for 10–20 minutes, then remove and gently pat the remaining essence into the skin.</p>",COSRX,Health & Beauty > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels,Eye Patch,"All Skin Types, COSRX, Dark Circles, Dry Eyes, Eye Care, Eye Patch, Sensitive Eyes, South Korea",true,Title,Default Title,,,,,,,,,0.0,shopify,14,deny,manual,6.500,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0692/0133/0422/files/ChatGPTImageJun20_2026_06_41_25PM.png?v=1781970099,1,"",false,,,6262,,,,,,,,,,,,,adults,,,,eyes,,,,,collagen; hyaluronic-acid,,hydrating; soothing; moisturizing,,,,,,,,,eyes,,,,,,,,,,,,,plastic,,,jar,,pads,,,,hydrating; smoothing; revitalizing; cooling; soothing,moisturizing; soothing,,,,all-skin-types,,unisex,,,,,,,g,,4.000,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
rosemary-root-enhancer,Rosemary Root Enhancer,"<p>Aromatica Rosemary Root Enhancer is a scalp care treatment formulated with Rosemary Extract and botanical ingredients to help nourish the scalp and support healthier-looking hair. The lightweight formula delivers refreshing scalp care while helping maintain a balanced scalp environment.</p>
<p>Perfect for those looking to incorporate scalp care into their daily hair care routine.</p>
<h3>Key Benefits</h3>
<p>• Helps nourish and refresh the scalp<br>• Supports healthier-looking hair<br>• Lightweight, non-greasy formula<br>• Suitable for daily scalp care</p>
<h3>Key Ingredients</h3>
<p>• Rosemary Extract – scalp conditioning care<br>• Botanical Extracts – nourishment and scalp care<br>• Biotin – hair care support<br>• Caffeine – scalp conditioning ingredient</p>
<h3>Size</h3>
<p>100ml</p>
<h3>How to Use</h3>
<p>Apply directly onto the scalp, focusing on the roots. Gently massage until absorbed. Use daily or as needed.</p>",AROMATICA,Health & Beauty > Personal Care > Hair Care > Hair Loss Treatments,Hair Serum,"All Skin Types, AROMATICA, hair care, Hair Loss, South Korea",true,Title,Default Title,,,,,,,,,0.0,shopify,48,deny,manual,5.500,6.500,true,true,,,,,,https://cdn.shopify.com/s/files/1/0692/0133/0422/files/ChatGPTImageJun20_2026_06_33_57PM.png?v=1781969707,1,"",false,,,4766,,,,,,,,,,,,,adults,,,rinse-out,,,,,nourishing; strengthening,rosemary-oil,,,,,,,,,,,,,,herbal,,,hair-serum,,,,,,,plastic,,,,,liquid,,,,,,,,all-hair-types,,,unisex,,,,,,,g,,4.000,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
